,fname,liveness_score,embed,embed_notnull,facial_point,facial_point_notnull
86,126.mp4,0,"[[1.         0.99769974 0.99847285 ... 0.         0.         0.        ]
 [0.99769974 1.         0.99935219 ... 0.         0.         0.        ]
 [0.99847285 0.99935219 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99769974 0.99847285 ... 0.         0.         0.        ]
 [0.99769974 1.         0.99935219 ... 0.         0.         0.        ]
 [0.99847285 0.99935219 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[213 127  37 ... 184  18  26]
 [211 121  33 ... 186  22  33]
 [212 122  34 ... 186  21  30]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
87,128.mp4,1,"[[1.         0.99779399 0.99624474 ... 0.         0.         0.        ]
 [0.99779399 1.         0.99616919 ... 0.         0.         0.        ]
 [0.99624474 0.99616919 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99779399 0.99624474 ... 0.         0.         0.        ]
 [0.99779399 1.         0.99616919 ... 0.         0.         0.        ]
 [0.99624474 0.99616919 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[137 224 178 ... 211 254   3]
 [137 224 179 ... 211 253   2]
 [136 223 177 ... 212 255   4]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
88,129.mp4,1,"[[1.         0.99780975 0.99837952 ... 0.99440603 0.99314656 0.99413576]
 [0.99780975 1.         0.99746354 ... 0.99334497 0.99185235 0.99295905]
 [0.99837952 0.99746354 1.         ... 0.99215297 0.99082192 0.99181754]
 ...
 [0.99440603 0.99334497 0.99215297 ... 1.         0.99849546 0.99914536]
 [0.99314656 0.99185235 0.99082192 ... 0.99849546 1.         0.99914324]
 [0.99413576 0.99295905 0.99181754 ... 0.99914536 0.99914324 1.        ]]","[[1.         0.99780975 0.99837952 ... 0.99440603 0.99314656 0.99413576]
 [0.99780975 1.         0.99746354 ... 0.99334497 0.99185235 0.99295905]
 [0.99837952 0.99746354 1.         ... 0.99215297 0.99082192 0.99181754]
 ...
 [0.99440603 0.99334497 0.99215297 ... 1.         0.99849546 0.99914536]
 [0.99314656 0.99185235 0.99082192 ... 0.99849546 1.         0.99914324]
 [0.99413576 0.99295905 0.99181754 ... 0.99914536 0.99914324 1.        ]]","[[148 223 188 ... 220   1 254]
 [148 224 188 ... 221   1 254]
 [148 223 187 ... 220   0 254]
 ...
 [146 222 183 ... 220   0   0]
 [146 221 182 ... 220   1   0]
 [147 222 184 ... 221   1   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
89,130.mp4,1,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
90,131.mp4,0,"[[1.         0.99198073 0.99164936 ... 0.         0.         0.        ]
 [0.99198073 1.         0.99696672 ... 0.         0.         0.        ]
 [0.99164936 0.99696672 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99198073 0.99164936 ... 0.         0.         0.        ]
 [0.99198073 1.         0.99696672 ... 0.         0.         0.        ]
 [0.99164936 0.99696672 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[216 107  43 ... 106 167 158]
 [216 110  48 ...  98 162 153]
 [220 114  51 ... 104 174 161]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
91,133.mp4,0,"[[1.         0.99963479 0.99923857 ... 0.         0.         0.        ]
 [0.99963479 1.         0.99891313 ... 0.         0.         0.        ]
 [0.99923857 0.99891313 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99963479 0.99923857 ... 0.         0.         0.        ]
 [0.99963479 1.         0.99891313 ... 0.         0.         0.        ]
 [0.99923857 0.99891313 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[178  92   6 ... 243  68  64]
 [178  91   6 ... 243  66  62]
 [179  92   7 ... 243  67  64]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
92,134.mp4,0,"[[1.         0.99951825 0.99851931 ... 0.         0.         0.        ]
 [0.99951825 1.         0.9994895  ... 0.         0.         0.        ]
 [0.99851931 0.9994895  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99951825 0.99851931 ... 0.         0.         0.        ]
 [0.99951825 1.         0.9994895  ... 0.         0.         0.        ]
 [0.99851931 0.9994895  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[144  45 210 ... 188 244 250]
 [146  45 210 ... 187 242 249]
 [147  45 210 ... 186 241 248]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
93,136.mp4,1,"[[1.         0.99224291 0.96798625 ... 0.         0.         0.        ]
 [0.99224291 1.         0.97940619 ... 0.         0.         0.        ]
 [0.96798625 0.97940619 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99224291 0.96798625 ... 0.         0.         0.        ]
 [0.99224291 1.         0.97940619 ... 0.         0.         0.        ]
 [0.96798625 0.97940619 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[132 247 197 ... 255  77  72]
 [136 251 201 ...   4  77  72]
 [145   1 208 ...   7  80  78]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
94,137.mp4,0,"[[1.         0.99224787 0.99311935 ... 0.95713154 0.95599733 0.96093216]
 [0.99224787 1.         0.99928968 ... 0.95156889 0.95048982 0.95530298]
 [0.99311935 0.99928968 1.         ... 0.95261894 0.95158263 0.95638738]
 ...
 [0.95713154 0.95156889 0.95261894 ... 1.         0.99881435 0.9955057 ]
 [0.95599733 0.95048982 0.95158263 ... 0.99881435 1.         0.99373324]
 [0.96093216 0.95530298 0.95638738 ... 0.9955057  0.99373324 1.        ]]","[[1.         0.99224787 0.99311935 ... 0.95713154 0.95599733 0.96093216]
 [0.99224787 1.         0.99928968 ... 0.95156889 0.95048982 0.95530298]
 [0.99311935 0.99928968 1.         ... 0.95261894 0.95158263 0.95638738]
 ...
 [0.95713154 0.95156889 0.95261894 ... 1.         0.99881435 0.9955057 ]
 [0.95599733 0.95048982 0.95158263 ... 0.99881435 1.         0.99373324]
 [0.96093216 0.95530298 0.95638738 ... 0.9955057  0.99373324 1.        ]]","[[147  30 218 ...  83 146 140]
 [148  32 220 ...  82 149 142]
 [147  31 219 ...  83 149 142]
 ...
 [140  22 211 ...  92 160 150]
 [140  22 211 ...  92 158 149]
 [141  23 211 ...  97 165 156]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
95,138.mp4,1,"[[1.         0.9756128  0.99847945 ... 0.         0.         0.        ]
 [0.9756128  1.         0.97468475 ... 0.         0.         0.        ]
 [0.99847945 0.97468475 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9756128  0.99847945 ... 0.         0.         0.        ]
 [0.9756128  1.         0.97468475 ... 0.         0.         0.        ]
 [0.99847945 0.97468475 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[139 202 169 ...   4  40  42]
 [139 204 165 ...   3  35  40]
 [140 203 171 ...   5  40  42]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
96,141.mp4,0,"[[1.         0.99912195 0.99720559 ... 0.         0.         0.        ]
 [0.99912195 1.         0.99879118 ... 0.         0.         0.        ]
 [0.99720559 0.99879118 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99912195 0.99720559 ... 0.         0.         0.        ]
 [0.99912195 1.         0.99879118 ... 0.         0.         0.        ]
 [0.99720559 0.99879118 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[181  45 244 ...  87 146 138]
 [182  45 244 ...  85 145 137]
 [184  45 244 ...  85 143 137]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
97,142.mp4,0,"[[1.         0.99836991 0.99836668 ... 0.90281017 0.89538731 0.89977973]
 [0.99836991 1.         0.99999852 ... 0.90543944 0.89800792 0.90245038]
 [0.99836668 0.99999852 1.         ... 0.90546473 0.89803557 0.90247654]
 ...
 [0.90281017 0.90543944 0.90546473 ... 1.         0.98979439 0.99778369]
 [0.89538731 0.89800792 0.89803557 ... 0.98979439 1.         0.99469991]
 [0.89977973 0.90245038 0.90247654 ... 0.99778369 0.99469991 1.        ]]","[[1.         0.99836991 0.99836668 ... 0.90281017 0.89538731 0.89977973]
 [0.99836991 1.         0.99999852 ... 0.90543944 0.89800792 0.90245038]
 [0.99836668 0.99999852 1.         ... 0.90546473 0.89803557 0.90247654]
 ...
 [0.90281017 0.90543944 0.90546473 ... 1.         0.98979439 0.99778369]
 [0.89538731 0.89800792 0.89803557 ... 0.98979439 1.         0.99469991]
 [0.89977973 0.90245038 0.90247654 ... 0.99778369 0.99469991 1.        ]]","[[129 200 170 ...  48  75  73]
 [130 200 171 ...  48  74  72]
 [130 200 171 ...  48  74  72]
 ...
 [134 203 157 ...  48  83  84]
 [135 204 158 ...  49  83  84]
 [135 203 157 ...  48  82  83]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
98,143.mp4,1,"[[1.         0.99891553 0.99973533 ... 0.         0.         0.        ]
 [0.99891553 1.         0.99844779 ... 0.         0.         0.        ]
 [0.99973533 0.99844779 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99891553 0.99973533 ... 0.         0.         0.        ]
 [0.99891553 1.         0.99844779 ... 0.         0.         0.        ]
 [0.99973533 0.99844779 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[ 98 176 131 ... 206 253 248]
 [ 99 178 132 ... 204 252 246]
 [100 180 133 ... 206 253 248]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
99,144.mp4,1,"[[1.         0.99983644 0.99951345 ... 0.         0.         0.        ]
 [0.99983644 1.         0.99971363 ... 0.         0.         0.        ]
 [0.99951345 0.99971363 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99983644 0.99951345 ... 0.         0.         0.        ]
 [0.99983644 1.         0.99971363 ... 0.         0.         0.        ]
 [0.99951345 0.99971363 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[135  10 193 ...  87 163 164]
 [135  10 193 ...  86 163 164]
 [135   9 193 ...  86 164 164]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
100,145.mp4,1,"[[1.         0.99738983 0.99777495 ... 0.         0.         0.        ]
 [0.99738983 1.         0.99610345 ... 0.         0.         0.        ]
 [0.99777495 0.99610345 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99738983 0.99777495 ... 0.         0.         0.        ]
 [0.99738983 1.         0.99610345 ... 0.         0.         0.        ]
 [0.99777495 0.99610345 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[217  76  31 ...  75 155 144]
 [218  76  31 ...  75 154 143]
 [217  76  31 ...  75 154 143]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
101,146.mp4,1,"[[1.         0.99999253 0.99831798 ... 0.97998708 0.99410991 0.99359285]
 [0.99999253 1.         0.99833755 ... 0.98001708 0.99410035 0.99359073]
 [0.99831798 0.99833755 1.         ... 0.97610921 0.99029886 0.99016189]
 ...
 [0.97998708 0.98001708 0.97610921 ... 1.         0.98331359 0.98028596]
 [0.99410991 0.99410035 0.99029886 ... 0.98331359 1.         0.99870696]
 [0.99359285 0.99359073 0.99016189 ... 0.98028596 0.99870696 1.        ]]","[[1.         0.99999253 0.99831798 ... 0.97998708 0.99410991 0.99359285]
 [0.99999253 1.         0.99833755 ... 0.98001708 0.99410035 0.99359073]
 [0.99831798 0.99833755 1.         ... 0.97610921 0.99029886 0.99016189]
 ...
 [0.97998708 0.98001708 0.97610921 ... 1.         0.98331359 0.98028596]
 [0.99410991 0.99410035 0.99029886 ... 0.98331359 1.         0.99870696]
 [0.99359285 0.99359073 0.99016189 ... 0.98028596 0.99870696 1.        ]]","[[141 193 165 ... 207 239 237]
 [141 193 165 ... 207 239 237]
 [141 193 165 ... 207 240 237]
 ...
 [134 187 158 ... 242  15  13]
 [135 188 160 ... 239  16  13]
 [135 187 160 ... 240  16  13]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
102,147.mp4,1,"[[1.         0.99652793 0.99153072 ... 0.         0.         0.        ]
 [0.99652793 1.         0.9964096  ... 0.         0.         0.        ]
 [0.99153072 0.9964096  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99652793 0.99153072 ... 0.         0.         0.        ]
 [0.99652793 1.         0.9964096  ... 0.         0.         0.        ]
 [0.99153072 0.9964096  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[162 202 179 ... 187 213 209]
 [161 201 179 ... 188 214 210]
 [161 200 178 ... 188 213 209]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
103,150.mp4,1,"[[1.         0.98926263 0.97097094 ... 0.         0.         0.        ]
 [0.98926263 1.         0.9669951  ... 0.         0.         0.        ]
 [0.97097094 0.9669951  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.98926263 0.97097094 ... 0.         0.         0.        ]
 [0.98926263 1.         0.9669951  ... 0.         0.         0.        ]
 [0.97097094 0.9669951  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[227  79  39 ... 141 192 197]
 [233  85  47 ... 141 190 196]
 [219  74  23 ... 139 200 200]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
104,151.mp4,0,"[[1.         0.99300626 0.99545154 ... 0.96861551 0.95957993 0.97156846]
 [0.99300626 1.         0.99827396 ... 0.96950658 0.96572485 0.9727851 ]
 [0.99545154 0.99827396 1.         ... 0.96877121 0.96326595 0.97174091]
 ...
 [0.96861551 0.96950658 0.96877121 ... 1.         0.98568347 0.9932591 ]
 [0.95957993 0.96572485 0.96326595 ... 0.98568347 1.         0.98031739]
 [0.97156846 0.9727851  0.97174091 ... 0.9932591  0.98031739 1.        ]]","[[1.         0.99300626 0.99545154 ... 0.96861551 0.95957993 0.97156846]
 [0.99300626 1.         0.99827396 ... 0.96950658 0.96572485 0.9727851 ]
 [0.99545154 0.99827396 1.         ... 0.96877121 0.96326595 0.97174091]
 ...
 [0.96861551 0.96950658 0.96877121 ... 1.         0.98568347 0.9932591 ]
 [0.95957993 0.96572485 0.96326595 ... 0.98568347 1.         0.98031739]
 [0.97156846 0.9727851  0.97174091 ... 0.9932591  0.98031739 1.        ]]","[[109 207 163 ... 131 173 169]
 [107 206 158 ... 133 175 173]
 [107 205 158 ... 132 174 171]
 ...
 [124 223 176 ... 147 187 191]
 [123 223 178 ... 154 193 197]
 [123 223 175 ... 150 188 192]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
105,152.mp4,1,"[[1.         0.54174146 0.976767   ... 0.         0.         0.        ]
 [0.54174146 1.         0.54192948 ... 0.         0.         0.        ]
 [0.976767   0.54192948 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.54174146 0.976767   ... 0.         0.         0.        ]
 [0.54174146 1.         0.54192948 ... 0.         0.         0.        ]
 [0.976767   0.54192948 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[ 84 181 117 ...  91 150 143]
 [ 88 188 131 ... 104 165 158]
 [ 82 189 123 ... 107 164 162]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
106,154.mp4,1,"[[1.         0.98768211 0.99577225 ... 0.98162813 0.98486702 0.97981575]
 [0.98768211 1.         0.98945551 ... 0.97095747 0.97781303 0.97346841]
 [0.99577225 0.98945551 1.         ... 0.97795041 0.9802147  0.97580481]
 ...
 [0.98162813 0.97095747 0.97795041 ... 1.         0.98946548 0.98621978]
 [0.98486702 0.97781303 0.9802147  ... 0.98946548 1.         0.99287252]
 [0.97981575 0.97346841 0.97580481 ... 0.98621978 0.99287252 1.        ]]","[[1.         0.98768211 0.99577225 ... 0.         0.         0.        ]
 [0.98768211 1.         0.98945551 ... 0.         0.         0.        ]
 [0.99577225 0.98945551 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[141 219 181 ...  57  90  93]
 [143 220 185 ...  57  90  91]
 [141 218 181 ...  57  90  92]
 ...
 [132 217 175 ...  69 109 111]
 [133 218 176 ...  68 108 111]
 [133 219 175 ...  67 108 112]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
107,155.mp4,1,"[[1.         0.99598598 0.9804026  ... 0.99498226 0.99514136 0.98845386]
 [0.99598598 1.         0.98263788 ... 0.99078199 0.99474579 0.98536218]
 [0.9804026  0.98263788 1.         ... 0.97672458 0.98076913 0.97198753]
 ...
 [0.99498226 0.99078199 0.97672458 ... 1.         0.99395122 0.99087161]
 [0.99514136 0.99474579 0.98076913 ... 0.99395122 1.         0.98824017]
 [0.98845386 0.98536218 0.97198753 ... 0.99087161 0.98824017 1.        ]]","[[1.         0.99598598 0.9804026  ... 0.99498226 0.99514136 0.98845386]
 [0.99598598 1.         0.98263788 ... 0.99078199 0.99474579 0.98536218]
 [0.9804026  0.98263788 1.         ... 0.97672458 0.98076913 0.97198753]
 ...
 [0.99498226 0.99078199 0.97672458 ... 1.         0.99395122 0.99087161]
 [0.99514136 0.99474579 0.98076913 ... 0.99395122 1.         0.98824017]
 [0.98845386 0.98536218 0.97198753 ... 0.99087161 0.98824017 1.        ]]","[[136 201 169 ...  11  42  41]
 [136 201 169 ...  10  42  40]
 [136 200 169 ...   8  40  42]
 ...
 [135 201 169 ...  11  45  44]
 [135 201 168 ...  12  45  44]
 [135 202 168 ...  12  47  45]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
