,Unnamed: 0,fname,liveness_score,embed,embed_notnull,facial_point,facial_point_notnull
85,85,1455.mp4,0,"[[1.         0.99975685 0.99983161 ... 0.         0.         0.        ]
 [0.99975685 1.         0.99986814 ... 0.         0.         0.        ]
 [0.99983161 0.99986814 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99975685 0.99983161 ... 0.         0.         0.        ]
 [0.99975685 1.         0.99986814 ... 0.         0.         0.        ]
 [0.99983161 0.99986814 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[165  89 227 ...  62 125 126]
 [165  88 226 ...  61 124 125]
 [164  88 226 ...  61 124 125]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
86,86,1462.mp4,0,"[[1.         0.9702697  0.97702281 ... 0.         0.         0.        ]
 [0.9702697  1.         0.99350659 ... 0.         0.         0.        ]
 [0.97702281 0.99350659 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9702697  0.97702281 ... 0.         0.         0.        ]
 [0.9702697  1.         0.99350659 ... 0.         0.         0.        ]
 [0.97702281 0.99350659 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[151   5 204 ... 142 211 209]
 [144 250 201 ... 163 222 218]
 [145 251 200 ... 161 222 216]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
87,87,1471.mp4,0,"[[1.         0.982018   0.98217671 ... 0.         0.         0.        ]
 [0.982018   1.         0.99782537 ... 0.         0.         0.        ]
 [0.98217671 0.99782537 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.982018   0.98217671 ... 0.         0.         0.        ]
 [0.982018   1.         0.99782537 ... 0.         0.         0.        ]
 [0.98217671 0.99782537 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[145 220 189 ...  92 110 120]
 [145 218 186 ...  91 110 121]
 [145 218 187 ...  90 110 122]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
88,88,1474.mp4,0,"[[1.         0.99929297 0.99885599 ... 0.98792043 0.98848917 0.98889788]
 [0.99929297 1.         0.99800728 ... 0.98770589 0.98826714 0.9888908 ]
 [0.99885599 0.99800728 1.         ... 0.98958255 0.99019236 0.98987708]
 ...
 [0.98792043 0.98770589 0.98958255 ... 1.         0.99959292 0.99809345]
 [0.98848917 0.98826714 0.99019236 ... 0.99959292 1.         0.99780502]
 [0.98889788 0.9888908  0.98987708 ... 0.99809345 0.99780502 1.        ]]","[[1.         0.99929297 0.99885599 ... 0.98792043 0.98848917 0.98889788]
 [0.99929297 1.         0.99800728 ... 0.98770589 0.98826714 0.9888908 ]
 [0.99885599 0.99800728 1.         ... 0.98958255 0.99019236 0.98987708]
 ...
 [0.98792043 0.98770589 0.98958255 ... 1.         0.99959292 0.99809345]
 [0.98848917 0.98826714 0.99019236 ... 0.99959292 1.         0.99780502]
 [0.98889788 0.9888908  0.98987708 ... 0.99809345 0.99780502 1.        ]]","[[141 207 172 ...  43  74  75]
 [141 206 171 ...  43  74  75]
 [140 206 171 ...  43  74  75]
 ...
 [143 211 180 ...  46  80  76]
 [143 211 179 ...  45  79  76]
 [143 212 181 ...  44  79  75]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
89,89,1481.mp4,0,"[[1.         0.9999994  0.9723375  ... 0.95272367 0.93685254 0.93022808]
 [0.9999994  1.         0.97231238 ... 0.95273929 0.93686614 0.93023813]
 [0.9723375  0.97231238 1.         ... 0.93630713 0.91951709 0.91058161]
 ...
 [0.95272367 0.95273929 0.93630713 ... 1.         0.98153748 0.9752115 ]
 [0.93685254 0.93686614 0.91951709 ... 0.98153748 1.         0.99131816]
 [0.93022808 0.93023813 0.91058161 ... 0.9752115  0.99131816 1.        ]]","[[1.         0.9999994  0.9723375  ... 0.95272367 0.93685254 0.93022808]
 [0.9999994  1.         0.97231238 ... 0.95273929 0.93686614 0.93023813]
 [0.9723375  0.97231238 1.         ... 0.93630713 0.91951709 0.91058161]
 ...
 [0.95272367 0.95273929 0.93630713 ... 1.         0.98153748 0.9752115 ]
 [0.93685254 0.93686614 0.91951709 ... 0.98153748 1.         0.99131816]
 [0.93022808 0.93023813 0.91058161 ... 0.9752115  0.99131816 1.        ]]","[[129 181 148 ... 220   1   1]
 [129 181 148 ... 220   1   1]
 [138 184 159 ... 237   7  10]
 ...
 [163 207 190 ... 203 234 238]
 [171 212 194 ... 199 223 229]
 [177 215 199 ... 196 221 228]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
90,90,149.mp4,0,"[[1.         0.97189544 0.97822346 ... 0.88871383 0.88569395 0.88727258]
 [0.97189544 1.         0.97955217 ... 0.89923676 0.89555129 0.8964927 ]
 [0.97822346 0.97955217 1.         ... 0.89149869 0.887737   0.8886662 ]
 ...
 [0.88871383 0.89923676 0.89149869 ... 1.         0.99503277 0.99198795]
 [0.88569395 0.89555129 0.887737   ... 0.99503277 1.         0.99534153]
 [0.88727258 0.8964927  0.8886662  ... 0.99198795 0.99534153 1.        ]]","[[1.         0.97189544 0.97822346 ... 0.         0.         0.        ]
 [0.97189544 1.         0.97955217 ... 0.         0.         0.        ]
 [0.97822346 0.97955217 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[249  64  39 ... 218   8   4]
 [  8  80  71 ... 222  10   6]
 [239  50  23 ... 233  12   8]
 ...
 [139 238 187 ...  39  61  61]
 [139 240 188 ...  38  61  61]
 [139 238 188 ...  35  59  57]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
91,91,1495.mp4,0,"[[1.         0.99959257 0.99262854 ... 0.         0.         0.        ]
 [0.99959257 1.         0.99186886 ... 0.         0.         0.        ]
 [0.99262854 0.99186886 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99959257 0.99262854 ... 0.         0.         0.        ]
 [0.99959257 1.         0.99186886 ... 0.         0.         0.        ]
 [0.99262854 0.99186886 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[168  25 209 ...  61 107 113]
 [168  25 211 ...  63 109 115]
 [174  29 222 ...  65 115 114]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
92,92,1496.mp4,0,"[[1.         0.99872893 0.         ... 0.         0.         0.        ]
 [0.99872893 1.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99872893 0.98316525 ... 0.         0.         0.        ]
 [0.99872893 1.         0.98418102 ... 0.         0.         0.        ]
 [0.98316525 0.98418102 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[192  44 247 ... 178 254 245]
 [193  44 250 ... 175 251 242]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
93,93,1499.mp4,0,"[[1.         0.9734954  0.96526614 ... 0.         0.         0.        ]
 [0.9734954  1.         0.9876298  ... 0.         0.         0.        ]
 [0.96526614 0.9876298  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9734954  0.96526614 ... 0.         0.         0.        ]
 [0.9734954  1.         0.9876298  ... 0.         0.         0.        ]
 [0.96526614 0.9876298  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[249  66  31 ...  33  65  70]
 [243  65  28 ...  23  62  61]
 [240  73  33 ...  34  76  80]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
94,94,15.mp4,0,"[[1.         0.99781076 0.99927979 ... 0.         0.         0.        ]
 [0.99781076 1.         0.99892132 ... 0.         0.         0.        ]
 [0.99927979 0.99892132 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99781076 0.99927979 ... 0.         0.         0.        ]
 [0.99781076 1.         0.99892132 ... 0.         0.         0.        ]
 [0.99927979 0.99892132 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[112 181 128 ...  90 151 145]
 [110 182 130 ...  91 151 145]
 [112 182 129 ...  90 151 144]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
95,95,1502.mp4,0,"[[1.         0.98845289 0.98510896 ... 0.         0.         0.        ]
 [0.98845289 1.         0.99096291 ... 0.         0.         0.        ]
 [0.98510896 0.99096291 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.98845289 0.98510896 ... 0.         0.         0.        ]
 [0.98845289 1.         0.99096291 ... 0.         0.         0.        ]
 [0.98510896 0.99096291 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[129 232 180 ...  43  96  95]
 [128 231 180 ...  46  97  95]
 [127 232 183 ...  49 102 102]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
96,96,1506.mp4,0,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 1.         0.9636556  0.99628814]
 [0.         0.         0.         ... 0.9636556  1.         0.96729841]
 [0.         0.         0.         ... 0.99628814 0.96729841 1.        ]]","[[1.         0.99940928 0.99042159 ... 0.         0.         0.        ]
 [0.99940928 1.         0.9896821  ... 0.         0.         0.        ]
 [0.99042159 0.9896821  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [139 231 198 ...  15  71  72]
 [137 228 197 ...  16  69  67]
 [139 231 199 ...  11  68  68]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
97,97,1511.mp4,0,"[[1.         0.99896611 0.99758973 ... 0.96720688 0.96693256 0.9874748 ]
 [0.99896611 1.         0.99849061 ... 0.96803671 0.96781941 0.98807991]
 [0.99758973 0.99849061 1.         ... 0.9672617  0.9671815  0.98813055]
 ...
 [0.96720688 0.96803671 0.9672617  ... 1.         0.99941253 0.97971288]
 [0.96693256 0.96781941 0.9671815  ... 0.99941253 1.         0.97978239]
 [0.9874748  0.98807991 0.98813055 ... 0.97971288 0.97978239 1.        ]]","[[1.         0.99896611 0.99758973 ... 0.96720688 0.96693256 0.9874748 ]
 [0.99896611 1.         0.99849061 ... 0.96803671 0.96781941 0.98807991]
 [0.99758973 0.99849061 1.         ... 0.9672617  0.9671815  0.98813055]
 ...
 [0.96720688 0.96803671 0.9672617  ... 1.         0.99941253 0.97971288]
 [0.96693256 0.96781941 0.9671815  ... 0.99941253 1.         0.97978239]
 [0.9874748  0.98807991 0.98813055 ... 0.97971288 0.97978239 1.        ]]","[[146 222 184 ...  35  75  71]
 [147 222 185 ...  35  76  71]
 [146 222 184 ...  38  77  73]
 ...
 [163 237 202 ...  30  68  62]
 [163 237 202 ...  30  68  61]
 [163 238 202 ...  22  66  57]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
98,98,1512.mp4,0,"[[1.         0.99999699 0.99057016 ... 0.97296015 0.98374572 0.98223779]
 [0.99999699 1.         0.99057041 ... 0.97296314 0.98375228 0.98224614]
 [0.99057016 0.99057041 1.         ... 0.97602216 0.98258588 0.98208411]
 ...
 [0.97296015 0.97296314 0.97602216 ... 1.         0.98618153 0.98517954]
 [0.98374572 0.98375228 0.98258588 ... 0.98618153 1.         0.99681244]
 [0.98223779 0.98224614 0.98208411 ... 0.98517954 0.99681244 1.        ]]","[[1.         0.99999699 0.99057016 ... 0.97296015 0.98374572 0.98223779]
 [0.99999699 1.         0.99057041 ... 0.97296314 0.98375228 0.98224614]
 [0.99057016 0.99057041 1.         ... 0.97602216 0.98258588 0.98208411]
 ...
 [0.97296015 0.97296314 0.97602216 ... 1.         0.98618153 0.98517954]
 [0.98374572 0.98375228 0.98258588 ... 0.98618153 1.         0.99681244]
 [0.98223779 0.98224614 0.98208411 ... 0.98517954 0.99681244 1.        ]]","[[147 240 187 ...  77 124 126]
 [147 240 187 ...  77 124 126]
 [145 238 190 ...  75 111 111]
 ...
 [132 224 178 ...  70 124 125]
 [132 224 181 ...  70 122 120]
 [134 225 184 ...  70 122 120]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
99,99,1514.mp4,0,"[[1.         0.98578864 0.98181951 ... 0.         0.         0.        ]
 [0.98578864 1.         0.99120787 ... 0.         0.         0.        ]
 [0.98181951 0.99120787 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.98578864 0.98181951 ... 0.         0.         0.        ]
 [0.98578864 1.         0.99120787 ... 0.         0.         0.        ]
 [0.98181951 0.99120787 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[131 213 153 ...  18  74  63]
 [130 216 147 ...  21  76  74]
 [133 222 151 ...  26  75  74]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
100,100,1517.mp4,0,"[[1.         0.99137733 0.98346732 ... 0.         0.         0.        ]
 [0.99137733 1.         0.99443975 ... 0.         0.         0.        ]
 [0.98346732 0.99443975 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99137733 0.98346732 ... 0.         0.         0.        ]
 [0.99137733 1.         0.99443975 ... 0.         0.         0.        ]
 [0.98346732 0.99443975 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[173  39 228 ... 105 153 152]
 [175  38 230 ... 103 155 154]
 [177  38 228 ... 103 157 156]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
101,101,1519.mp4,0,"[[1.         0.99274668 0.         ... 0.         0.         0.        ]
 [0.99274668 1.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99274668 0.98888288 ... 0.         0.         0.        ]
 [0.99274668 1.         0.98472196 ... 0.         0.         0.        ]
 [0.98888288 0.98472196 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[ 35 101  82 ... 198 227 227]
 [ 12 112  72 ... 116 149 159]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
102,102,1525.mp4,0,"[[1.         0.99831414 0.99895703 ... 0.         0.         0.        ]
 [0.99831414 1.         0.99968061 ... 0.         0.         0.        ]
 [0.99895703 0.99968061 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99831414 0.99895703 ... 0.         0.         0.        ]
 [0.99831414 1.         0.99968061 ... 0.         0.         0.        ]
 [0.99895703 0.99968061 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[220  22 245 ... 151 179 178]
 [220  21 244 ... 150 179 178]
 [220  21 244 ... 150 179 178]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
103,103,1527.mp4,0,"[[1.         0.99956587 0.9978244  ... 0.         0.         0.        ]
 [0.99956587 1.         0.99842984 ... 0.         0.         0.        ]
 [0.9978244  0.99842984 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99956587 0.9978244  ... 0.         0.         0.        ]
 [0.99956587 1.         0.99842984 ... 0.         0.         0.        ]
 [0.9978244  0.99842984 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[178  65   7 ... 232  65  40]
 [178  62   4 ... 234  64  41]
 [175  60   0 ... 233  62  43]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
104,104,153.mp4,0,"[[1.         0.99595369 0.97753582 ... 0.         0.         0.        ]
 [0.99595369 1.         0.97867926 ... 0.         0.         0.        ]
 [0.97753582 0.97867926 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99595369 0.97753582 ... 0.         0.         0.        ]
 [0.99595369 1.         0.97867926 ... 0.         0.         0.        ]
 [0.97753582 0.97867926 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[228  55  25 ...  20  63  85]
 [220  51  19 ...  15  62  78]
 [201  42 253 ...  24  74  88]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
105,105,1530.mp4,0,"[[1.         0.99983264 0.98740816 ... 0.97984688 0.98358192 0.98547574]
 [0.99983264 1.         0.98734291 ... 0.98097366 0.98404334 0.98637871]
 [0.98740816 0.98734291 1.         ... 0.98140895 0.98467124 0.98601217]
 ...
 [0.97984688 0.98097366 0.98140895 ... 1.         0.98409234 0.99745337]
 [0.98358192 0.98404334 0.98467124 ... 0.98409234 1.         0.98617358]
 [0.98547574 0.98637871 0.98601217 ... 0.99745337 0.98617358 1.        ]]","[[1.         0.99983264 0.98740816 ... 0.98547574 0.         0.        ]
 [0.99983264 1.         0.98734291 ... 0.98637871 0.         0.        ]
 [0.98740816 0.98734291 1.         ... 0.98601217 0.         0.        ]
 ...
 [0.98547574 0.98637871 0.98601217 ... 1.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[163   9 213 ... 136 176 181]
 [163  10 213 ... 138 178 183]
 [160   4 207 ... 132 171 173]
 ...
 [167  13 212 ... 126 168 177]
 [170  12 214 ... 127 164 171]
 [169  13 216 ... 127 167 175]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
106,106,1536.mp4,0,"[[1.         0.99906102 0.98551862 ... 0.         0.         0.        ]
 [0.99906102 1.         0.98447613 ... 0.         0.         0.        ]
 [0.98551862 0.98447613 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99906102 0.98551862 ... 0.         0.         0.        ]
 [0.99906102 1.         0.98447613 ... 0.         0.         0.        ]
 [0.98551862 0.98447613 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[130 240 178 ...  59  87 107]
 [130 238 178 ...  57  84 104]
 [127 238 173 ...  60  86 111]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
